"156","Bahrain","1783.9830","1748.2960","1.0204","765","2332.0039"
"157","Equatorial Guinea","1496.6620","1449.8960","1.0323","28051","53.3550"
"158","Trinidad and Tobago","1406.5850","1403.3750","1.0023","5130","274.1881"
"159","Timor-Leste","1369.4290","1343.8730","1.0190","14874","92.0686"
"160","Estonia","1321.9100","1325.1850","0.9975","45227","29.2283"
"161","Mauritius","1274.7270","1273.4330","1.0010","2040","624.8662"
"162","Cyprus","1223.3870","1215.5840","1.0064","9251","132.2438"
"163","Eswatini","1184.8170","1172.3620","1.0106","17364","68.2341"
"164","Djibouti","1016.0970","1002.1870","1.0139","23200","43.7973"
"165","Fiji","909.4660","902.9060","1.0073","18272","49.7738"
"166","Reunion","908.0610","901.6860","1.0071","2511","361.6332"
"167","Comoros","907.4190","888.4510","1.0213","1862","487.3357"
"168","Guyana","794.0450","790.3260","1.0047","214969","3.6938"
"169","Bhutan","787.9410","779.8980","1.0103","38394","20.5225"
"170","Solomon Islands","721.1590","703.9960","1.0244","28896","24.9571"
"171","Luxembourg","642.3710","634.8140","1.0119","2586","248.4033"
"172","Montenegro","627.9500","628.0530","0.9998","13812","45.4641"
"173","Western Sahara","626.1610","611.8750","1.0233","266000","2.3540"
"174","Suriname","596.8310","591.8000","1.0085","163820","3.6432"
"175","Cape Verde","567.6780","561.8980","1.0103","4033","140.7582"
"176","Maldives","540.9850","543.6170","0.9952","300","1803.2833"
"177","Brunei","445.4310","441.5320","1.0088","5765","77.2647"
"178","Malta","444.0330","442.7840","1.0028","316","1405.1677"
"179","Belize","412.1900","404.9140","1.0180","22966","17.9478"
"180","Bahamas","400.5160","396.9130","1.0091","13943","28.7252"
"181","Guadeloupe","399.7940","400.0200","0.9994","1628","245.5737"
"182","Martinique","374.0870","374.7450","0.9982","1128","331.6374"
"183","Iceland","345.3930","343.3530","1.0059","103000","3.3533"
"184","Vanuatu","321.8320","314.4640","1.0234","12189","26.4035"
"185","French Guiana","314.1690","306.4480","1.0252","83534","3.7610"
"186","Barbados","288.0230","287.7110","1.0011","430","669.8209"
"187","Mayotte","286.2590","279.5150","1.0241","374","765.3984"
"188","Sao Tome and Principe","227.6790","223.3680","1.0193","964","236.1815"
"189","Samoa","202.2390","200.1490","1.0104","2842","71.1608"
"190","Saint Lucia","185.1130","184.4000","1.0039","616","300.5081"
"191","Kiribati","123.4190","121.3920","1.0167","811","152.1813"
"192","Micronesia","117.4890","116.2540","1.0106","702","167.3632"
"193","Grenada","113.4750","113.0210","1.0040","344","329.8692"
"194","Saint Vincent and the Grenadines","111.5510","111.2630","1.0026","389","286.7635"
"195","Tonga","107.7490","106.7600","1.0093","747","144.2423"
"196","Antigua and Barbuda","99.5090","98.7310","1.0079","442","225.1335"
"197","Seychelles","99.4260","98.9080","1.0052","452","219.9690"
"198","Andorra","77.4630","77.3550","1.0014","468","165.5192"
"199","Dominica","72.3440","72.1670","1.0025","751","96.3302"
"200","Marshall Islands","60.0570","59.6100","1.0075","181","331.8066"
"201","Greenland","56.9730","56.8770","1.0017","2166086","0.0263"
"202","Saint Kitts and Nevis","53.8710","53.5440","1.0061","261","206.4023"
"203","Monaco","39.7830","39.5110","1.0069","2","19891.5000"
"204","Liechtenstein","38.3870","38.2500","1.0036","160","239.9187"
"205","San Marino","34.0850","34.0170","1.0020","61","558.7705"
"206","Palau","18.2330","18.1690","1.0035","459","39.7233"
"207","Tuvalu","12.0660","11.9310","1.0113","26","464.0769"
"208","Nauru","10.9030","10.8760","1.0025","21","519.1905"
"209","Vatican City","0.7990","0.8000","0.9988","1","799"
